gene,eigenvalue,phi1,phi2,r2,root_type,half_life,eigenperiod
Adgra1,0.775938,0.391823,0.29805,0.197691,Real,2.7323,NA
Adm,0.49395,-0.04222,0.223132,0.052194,Real,0.9827,NA
AI314180,0.767537,0.494072,0.209894,0.357336,Real,2.6199,NA
AI315376,0.182627,-0.00875,-0.033353,-0.000224,Complex,0.4077,3.9399
Aif1,0.437213,0.223114,-0.191156,0.073574,Complex,0.8378,4.7861
Ankef1,0.095881,-0.025944,0.006706,-0.082212,Real,0.2956,NA
Ap1s2,0.767266,0.278053,0.375356,0.217916,Real,2.6164,NA
Apbb2,0.688493,0.64989,0.026578,0.40933,Real,1.8571,NA
Appbp2os,0.204476,0.026483,0.036395,0.001217,Real,0.4367,NA
Armc3,0.382782,0.574454,-0.146522,0.263371,Complex,0.7218,8.7003
Armcx6,0.300889,0.251972,0.014718,0.062681,Real,0.5771,NA
Asprv1,0.829833,0.369991,0.381593,0.348555,Real,3.716,NA
Atp10a,0.662936,0.26685,0.26258,0.1621,Real,1.6862,NA
AU014678,0.596352,0.327579,0.160283,0.15141,Real,1.3409,NA
B3gnt5,0.852929,0.450837,0.342956,0.398303,Real,4.3573,NA
B9d2,0.553065,0.039046,0.284286,0.08161,Real,1.1703,NA
Bdh1,0.913263,0.625184,0.263092,0.650179,Real,7.6396,NA
Brd8,0.395886,0.650912,-0.156726,0.333351,Complex,0.748,10.3732
C130070B15Rik,0.714538,0.311067,0.288296,0.22142,Real,2.0622,NA
C130079G13Rik,0.46283,0.228265,0.108564,0.069248,Real,0.8997,NA
C330024D21Rik,1.107967,0.670619,0.484567,0.37626,Real,NA,NA
C77068,0.556177,0.211297,0.191814,0.089566,Real,1.1815,NA
C77626,0.380695,0.27418,-0.144929,0.076304,Complex,0.7177,5.2255
C79845,0.2275,0.08648,-0.051756,0.009094,Complex,0.4682,4.5545
Cacna1e,0.471288,0.281416,0.089484,0.097441,Real,0.9214,NA
Capg,0.321247,-0.133403,-0.103199,0.024901,Complex,0.6104,3.53
Cass4,0.288145,0.300695,-0.003616,0.088637,Real,0.5571,NA
Cbx8,0.484679,0.068251,0.201834,0.047481,Real,0.957,NA
Ccdc28a,0.374502,0.620288,-0.140251,0.310547,Complex,0.7057,10.5601
